germe,alpha,J,temps,n,q,A,Delta_S_interne_sur_kB
alpha_-0.4_J_0.1,-0.4,0.1,12.5,0.4589575006880506,0.0014401784052973708,0.14104249931194934,4.148227678169757e-06
alpha_-0.4_J_0.1,-0.4,0.1,12.6,0.4597701966252338,0.0014200659501137352,0.1402298033747662,4.033174605344851e-06
alpha_-0.4_J_0.1,-0.4,0.1,12.700000000000001,0.46056680010466255,0.0014003470489627084,0.13943319989533742,3.921943715077132e-06
alpha_-0.4_J_0.1,-0.4,0.1,12.8,0.46134762977835014,0.001381010884848055,0.1386523702216499,3.814382128137616e-06
alpha_-0.4_J_0.1,-0.4,0.1,12.9,0.46211299798857725,0.0013620470161980918,0.1378870020114228,3.71034414866825e-06
alpha_-0.4_J_0.1,-0.4,0.1,13.0,0.46286321089283305,0.0013434453616633533,0.13713678910716698,3.6096908795495562e-06
alpha_-0.4_J_0.1,-0.4,0.1,13.1,0.46359856858628223,0.0013251961856098865,0.13640143141371774,3.5122898607099854e-06
alpha_-0.4_J_0.1,-0.4,0.1,13.200000000000001,0.464319365221807,0.0013072900842727238,0.13568063477819303,3.4180147288755705e-06
alpha_-0.4_J_0.1,-0.4,0.1,13.3,0.46502588912767234,0.0012897179725360895,0.13497411087232758,3.326744897365203e-06
alpha_-0.4_J_0.1,-0.4,0.1,13.4,0.46571842292286103,0.001272471071308746,0.13428157707713895,3.238365254635256e-06
alpha_-0.4_J_0.1,-0.4,0.1,13.5,0.46639724363012514,0.0012555408954646441,0.13360275636987484,3.152765880368321e-06
alpha_-0.4_J_0.1,-0.4,0.1,13.6,0.4670626227867985,0.0012389192423206854,0.13293737721320154,3.0698417779849228e-06
alpha_-0.4_J_0.1,-0.4,0.1,13.700000000000001,0.4677148265534158,0.0012225981806249552,0.1322851734465842,2.989492622534901e-06
alpha_-0.4_J_0.1,-0.4,0.1,13.8,0.46835411582017966,0.0012065700400302351,0.13164588417982037,2.9116225229971263e-06
alpha_-0.4_J_0.1,-0.4,0.1,13.9,0.46898074631132086,0.0011908274010289746,0.13101925368867906,2.8361397980828445e-06
alpha_-0.4_J_0.1,-0.4,0.1,14.0,0.46959496868739103,0.0011753630853271909,0.13040503131260894,2.7629567646997067e-06
alpha_-0.4_J_0.1,-0.4,0.1,14.1,0.4701970286455303,0.001160170146635973,0.1298029713544696,2.69198953829067e-06
alpha_-0.4_J_0.1,-0.4,0.1,14.200000000000001,0.4707871670177496,0.0011452418618604118,0.1292128329822504,2.623157844315005e-06
alpha_-0.4_J_0.1,-0.4,0.1,14.3,0.47136561986726633,0.001130571722666848,0.12863438013273365,2.5563848401877684e-06
alpha_-0.4_J_0.1,-0.4,0.1,14.4,0.47193261858293317,0.0011161534274103456,0.12806738141706686,2.491596947039723e-06
alpha_-0.4_J_0.1,-0.4,0.1,14.5,0.4724883899717964,0.001101980873405248,0.12751161002820355,2.428723690701987e-06
alpha_-0.4_J_0.1,-0.4,0.1,14.6,0.473033156349822,0.0010880481495225758,0.12696684365017796,2.367697551359003e-06
alpha_-0.4_J_0.1,-0.4,0.1,14.700000000000001,0.4735671356308248,0.0010743495290988733,0.1264328643691751,2.3084538213499416e-06
alpha_-0.4_J_0.1,-0.4,0.1,14.8,0.4740905414136371,0.001060879463141903,0.12590945858636282,2.250930470632504e-06
alpha_-0.4_J_0.1,-0.4,0.1,14.9,0.47460358306755074,0.0010476325738193537,0.12539641693244918,2.195068019454727e-06
alpha_-0.4_J_0.1,-0.4,0.1,15.0,0.475106465816068,0.0010346036482174307,0.12489353418393201,2.1408094178096344e-06
alpha_-0.4_J_0.1,-0.4,0.1,15.1,0.4755993908189935,0.0010217876323568601,0.12440060918100648,2.088099931274876e-06
alpha_-0.4_J_0.1,-0.4,0.1,15.200000000000001,0.47608255525290083,0.0010091796254545011,0.12391744474709909,2.0368870328649743e-06
