modele,scenario,temps,variable_1,valeur_1,variable_2,valeur_2,variable_3,valeur_3
germes_reference,alpha_-0.4_J_0.1,0.8200000000000001,q_configuration,0.031517827195342206,n,0.07562898905989665,,
germes_reference,alpha_-0.4_J_0.1,0.8300000000000001,q_configuration,0.031352812546983654,n,0.07647688290530019,,
germes_reference,alpha_-0.4_J_0.1,0.84,q_configuration,0.03118892924862873,n,0.07732308265767064,,
germes_reference,alpha_-0.4_J_0.1,0.85,q_configuration,0.031026168020215066,n,0.07816759170180816,,
germes_reference,alpha_-0.4_J_0.1,0.86,q_configuration,0.030864519669311048,n,0.07901041341575006,,
germes_reference,alpha_-0.4_J_0.1,0.87,q_configuration,0.030703975090181374,n,0.07985155117078428,,
germes_reference,alpha_-0.4_J_0.1,0.88,q_configuration,0.030544525262863786,n,0.080691008331463,,
germes_reference,alpha_-0.4_J_0.1,0.89,q_configuration,0.030386161252256773,n,0.08152878825561598,,
germes_reference,alpha_-0.4_J_0.1,0.9,q_configuration,0.030228874207218176,n,0.082364894294364,,
germes_reference,alpha_-0.4_J_0.1,0.91,q_configuration,0.030072655359674478,n,0.08319932979213236,,
germes_reference,alpha_-0.4_J_0.1,0.92,q_configuration,0.029917496023740667,n,0.08403209808666415,,
germes_reference,alpha_-0.4_J_0.1,0.93,q_configuration,0.029763387594850553,n,0.08486320250903366,,
germes_reference,alpha_-0.4_J_0.1,0.9400000000000001,q_configuration,0.029610321548897357,n,0.0856926463836597,,
germes_reference,alpha_-0.4_J_0.1,0.9500000000000001,q_configuration,0.02945828944138447,n,0.08652043302831885,,
germes_reference,alpha_-0.4_J_0.1,0.96,q_configuration,0.02930728290658623,n,0.0873465657541588,,
germes_reference,alpha_-0.4_J_0.1,0.97,q_configuration,0.029157293656718597,n,0.08817104786571159,,
germes_reference,alpha_-0.4_J_0.1,0.98,q_configuration,0.029008313481119576,n,0.08899388266090673,,
germes_reference,alpha_-0.4_J_0.1,0.99,q_configuration,0.02886033424543929,n,0.0898150734310845,,
germes_reference,alpha_-0.4_J_0.1,1.0,q_configuration,0.02871334789083955,n,0.09063462346100908,,
germes_reference,alpha_-0.4_J_0.1,1.01,q_configuration,0.028567346433202825,n,0.09145253602888168,,
germes_reference,alpha_-0.4_J_0.1,1.02,q_configuration,0.028422321962350425,n,0.09226881440635368,,
germes_reference,alpha_-0.4_J_0.1,1.03,q_configuration,0.028278266641269888,n,0.09308346185853965,,
germes_reference,alpha_-0.4_J_0.1,1.04,q_configuration,0.02813517270535133,n,0.0938964816440305,,
germes_reference,alpha_-0.4_J_0.1,1.05,q_configuration,0.027993032461632737,n,0.09470787701490646,,
germes_reference,alpha_-0.4_J_0.1,1.06,q_configuration,0.027851838288054022,n,0.09551765121675009,,
germes_reference,alpha_-0.4_J_0.1,1.07,q_configuration,0.027711582632719764,n,0.09632580748865927,,
germes_reference,alpha_-0.4_J_0.1,1.08,q_configuration,0.0275722580131705,n,0.09713234906326018,,
germes_reference,alpha_-0.4_J_0.1,1.09,q_configuration,0.02743385701566248,n,0.09793727916672018,,
germes_reference,alpha_-0.4_J_0.1,1.1,q_configuration,0.02729637229445574,n,0.09874060101876077,,
germes_reference,alpha_-0.4_J_0.1,1.11,q_configuration,0.027159796571110437,n,0.09954231783267042,,
germes_reference,alpha_-0.4_J_0.1,1.12,q_configuration,0.027024122633791295,n,0.10034243281531746,,
germes_reference,alpha_-0.4_J_0.1,1.1300000000000001,q_configuration,0.02688934333658007,n,0.10114094916716287,,
germes_reference,alpha_-0.4_J_0.1,1.1400000000000001,q_configuration,0.026755451598795943,n,0.10193787008227316,,
germes_reference,alpha_-0.4_J_0.1,1.1500000000000001,q_configuration,0.026622440404323735,n,0.102733198748333,,
germes_reference,alpha_-0.4_J_0.1,1.16,q_configuration,0.02649030280094982,n,0.10352693834665815,,
germes_reference,alpha_-0.4_J_0.1,1.17,q_configuration,0.026359031899705693,n,0.10431909205220807,,
